punk_id,current_owner,last_transfer_time
0,0xf5099e196469257c0d457e896a648d5f616af034,2017-07-07 19:03:40.000 UTC
1,0xb88f61e6fbda83fbfffabe364112137480398018,2020-11-30 19:50:43.000 UTC
2,0x897aea3d51dcba918c41ae23f5d9a7411671dee0,2021-06-09 19:48:31.000 UTC
3,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:12:59.000 UTC
4,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:12:11.000 UTC
5,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 19:48:33.000 UTC
6,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:11:30.000 UTC
7,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:10:51.000 UTC
8,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:10:12.000 UTC
9,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:09:15.000 UTC
10,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:08:59.000 UTC
11,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:08:46.000 UTC
12,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:07:38.000 UTC
13,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:07:00.000 UTC
14,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2023-09-01 21:09:47.000 UTC
15,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:06:04.000 UTC
16,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:05:20.000 UTC
17,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:04:18.000 UTC
18,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:03:55.000 UTC
19,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:03:42.000 UTC
20,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:02:58.000 UTC
21,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:01:54.000 UTC
22,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:00:57.000 UTC
23,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 05:00:19.000 UTC
24,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:59:57.000 UTC
25,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:59:01.000 UTC
26,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:58:55.000 UTC
27,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:58:07.000 UTC
28,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:57:34.000 UTC
29,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:57:18.000 UTC
30,0x897aea3d51dcba918c41ae23f5d9a7411671dee0,2021-06-09 19:46:22.000 UTC
31,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:56:46.000 UTC
32,0xf68e4d63c8ea83083d1cb9858210cf2b03d8266b,2022-04-14 16:50:15.000 UTC
33,0x2238c8b16c36628b8f1f36486675c1e2a30debf1,2023-01-21 21:35:11.000 UTC
34,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:55:37.000 UTC
35,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:54:59.000 UTC
36,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:54:13.000 UTC
37,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:53:54.000 UTC
38,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:52:37.000 UTC
39,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 19:47:33.000 UTC
40,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:52:02.000 UTC
41,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:50:48.000 UTC
42,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:49:57.000 UTC
43,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:49:34.000 UTC
44,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:48:01.000 UTC
45,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:47:44.000 UTC
46,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:46:40.000 UTC
47,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:46:07.000 UTC
48,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:45:50.000 UTC
49,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 19:47:09.000 UTC
50,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:45:04.000 UTC
51,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 19:46:13.000 UTC
52,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:44:33.000 UTC
53,0xb813c62ad216a274057cd602ad754e3ac8b914a6,2021-03-17 18:04:20.000 UTC
54,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:44:27.000 UTC
55,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:43:50.000 UTC
56,0xa858ddc0445d8131dac4d1de01f834ffcba52ef1,2022-03-17 04:43:36.000 UTC
